Kategori,Alt Kategori,Ürün Grubu,Komisyon_%_KDV_Dahil
Kitap,Seyahat ve Turizm,Seyahat ve Turizm,12.0
Kitap,"Siyaset, Felsefe Sosyal Bilimler","Siyaset, Felsefe Sosyal Bilimler",12.0
Yapı Market & Bahçe,Soba ve Şömineler,Soba ve Şömineler,12.0
Elektronik / Isıtma & Soğutma Sistemleri,Sobalar ve Itıcılar,Sobalar ve Itıcılar,11.0
Elektronik / Isıtma & Soğutma Sistemleri,Sofbenler,Sofbenler,11.0
Spor & Outdoor,Spor ve Fitness,Spor ve Fitness,12.0
Elektronik / Beyaz Eşya,Su Sebilleri,Su Sebilleri,12.0
Elektronik / Bilgisayar & Tablet,Sunucu,Sunucu,8.0
Kitap,Sınavlara Hazırlık,Sınavlara Hazırlık,12.0
Elektronik / Bilgisayar & Tablet,Tabletler,Tabletler,6.0
Takı & Gözlük & Saat,Takı,Takı,15.0
Elektronik / Televizyon & Ses Sistemleri,Televizyon Aksesuarları,Televizyon Aksesuarları,10.0
Elektronik / Televizyon & Ses Sistemleri,Televizyonlar,Televizyonlar,6.0
Elektronik / Telefonlar & Aksesuarları,Telsiz ve Masaüstü Telefonlar,Telsiz ve Masaüstü Telefonlar,15.0
Elektronik / Isıtma & Soğutma Sistemleri,Termosifonlar,Termosifonlar,11.0
Elektronik / Isıtma & Soğutma Sistemleri,Termostatlar,Termostatlar,11.0
Elektronik / Televizyon & Ses Sistemleri,Uydu Sistemleri,Uydu Sistemleri,10.0
Elektronik / Isıtma & Soğutma Sistemleri,Vantilatörler,Vantilatörler,11.0
Elektronik / Bilgisayar & Tablet,Veri Depolama,Veri Depolama,8.0
Fotoğraf & Kamera,Video Kameralar,Video Kameralar,10.0
Film & Müzik & Oyun,Video Oyunu,Video Oyunu,15.0
Kitap,Yabancı Kaynaklar,Yabancı Kaynaklar,12.0
Elektronik / Bilgisayar & Tablet,Yazıcı ve Aksesuarları,Yazıcı ve Aksesuarları,8.0
Elektronik / Bilgisayar & Tablet,Yazılım Ürünleri,Yazılım Ürünleri,10.0
Otomobil & Motosiklet,Yedek Parçalar,Yedek Parçalar,10.0
Elektronik / Telefonlar & Aksesuarları,Yenilenmiş ve İkinci El Telefonlar,Yenilenmiş ve İkinci El Telefonlar,10.0
Elektronik / Bilgisayar & Tablet,Yenilenmiş ve İkinci El Ürünler,Yenilenmiş ve İkinci El Ürünler,10.0
Hobi & Oyuncak,Yetişkin Hobi & Oyun,Yetişkin Hobi & Oyun,15.0
Elektronik / Elektrikli Ev & Mutfak Aletleri,Yoğurt Makineleri,Yoğurt Makineleri,10.0
Takı & Gözlük & Saat,Ziynet ve Külçe Altın,Ziynet ve Külçe Altın,5.0
Elektronik / Beyaz Eşya,Çamaşır Makineleri,Çamaşır Makineleri,10.0
Elektronik / Bilgisayar & Tablet,Çevre Birimleri,Çevre Birimleri,10.0
Yapı Market & Bahçe,Çiçek Bakımı ve Bitki Yetiştirme,Çiçek Bakımı ve Bitki Yetiştirme,15.0
Giyim & Aksesuar,Çocuk Giyim Ürünleri ve Kıyafetleri,Çocuk Giyim Ürünleri ve Kıyafetleri,15.0
Kitap,Çocuk ve Gençlik Kitapları,Çocuk ve Gençlik Kitapları,12.0
Yapı Market & Bahçe,Ölçüm Aletleri,Ölçüm Aletleri,12.0
Elektronik / Elektrikli Ev & Mutfak Aletleri,Ütüler,Ütüler,10.0
Yapı Market & Bahçe,İnşaat Malzemeleri,İnşaat Malzemeleri,15.0
Süpermarket,İçecek,İçecek,11.0
